sense_1,sense_2,mark,lang,features_1,features_2,sim_feature,pos_1,pos_2,sim_pos,fuzz,cosine
['hedgehog'],['badger'],1,eng,"['erinaceus', 'insectivore', 'rodent']","['torment', 'american', 'musteline_mammal', 'persuade']",0,NOUN,NOUN,True,0.0,0.6315984129905701
['pig'],['hedgehog'],1,eng,"['live', 'eat', 'vulgarian', 'swine', 'sus', 'ingot', 'selfish_person', 'give_birth', 'policeman', 'mold']","['erinaceus', 'insectivore', 'rodent']",0,NOUN,NOUN,True,0.0,0.5075190663337708
['pig'],['badger'],1,eng,"['live', 'eat', 'vulgarian', 'swine', 'sus', 'ingot', 'selfish_person', 'give_birth', 'policeman', 'mold']","['torment', 'american', 'musteline_mammal', 'persuade']",0,NOUN,NOUN,True,0.0,0.5536065697669983
['star'],['destiny'],1,eng,"['actor', 'celestial_body', 'mark', 'galaxy', 'performer', 'expert', 'character', 'constellation', 'perform', 'topology', 'plane_figure', 'have']","['causal_agent', 'happening', 'condition']",0,NOUN,NOUN,True,0.0,0.3709133565425873
['blacksmith'],"['wizard', 'magician']",1,eng,['smith'],"['occultist', 'expert']",0,NOUN,NOUN,True,0.0,0.43891599774360657
['to know'],['to practice witchcraft'],1,eng,"['remember', 'knowing', 'recognize', 'copulate', 'distinguish', 'accept', 'experience']",[],0,VERB,VERB,True,0.0,0.21160165965557098
['animal'],['cloud'],1,eng,"['animalia', 'organism']","['mar', 'physical_phenomenon', 'hide', 'billow', 'group', 'spot', 'atmospheric_phenomenon', 'darken', 'change', 'dull', 'suspicion', 'gloom', 'unreality', 'affect']",0,NOUN,NOUN,True,0.0,0.40565720200538635
['animal'],['white caps'],1,eng,"['animalia', 'organism']",[],0,NOUN,NOUN,True,0.0,0.1612585484981537
['plant'],"['drug', 'medicine']",1,eng,"['contrivance', 'plantae', 'actor', 'stock', 'building_complex', 'insert', 'communicate', 'initiate', 'organism', 'put']","['consume', 'medicate', 'agent']",0,NOUN,NOUN,True,0.0,0.4736754894256592
['plant'],['(gun)powder'],1,eng,"['contrivance', 'plantae', 'actor', 'stock', 'building_complex', 'insert', 'communicate', 'initiate', 'organism', 'put']",[],0,NOUN,NOUN,True,0.0,0.2798549234867096
['head'],['money'],1,eng,"['subject', 'precede', 'projection', 'object', 'obverse', 'remove', 'word', 'direct', 'form', 'cognition', 'mark', 'drug_user', 'educator', 'leader', 'be', 'perversion', 'individual', 'lie', 'progress', 'formation', 'line', 'external_body_part', 'striker', 'control', 'originate', 'foam', 'linear_unit', 'natural_elevation', 'pressure', 'juncture', 'domestic_animal', 'membrane', 'top', 'toilet', 'structure', 'plant_organ', 'point', 'coil', 'beginning', 'front', 'proceed']","['currency', 'wealth', 'medium_of_exchange']",0,NOUN,NOUN,True,0.0,0.38321876525878906
['to strain'],['to prepare'],1,eng,"['music', 'taxonomic_group', 'afflict', 'meaning', 'attempt', 'species', 'difficulty', 'tug', 'animal_group', 'shape', 'effort', 'separate', 'deformation', 'nervousness', 'injury', 'use', 'variety', 'rub', 'tighten', 'vocal_music', 'affect']","['educate', 'make', 'learn', 'initiate', 'teach', 'create_from_raw_material', 'sound', 'change']",0,VERB,VERB,True,0.0,0.5414401292800903
['to shout'],"['to call', 'to call for']",1,eng,"['utter', 'utterance', 'express', 'attack', 'talk']","['option', 'postpone', 'utterance', 'declare', 'animal_communication', 'guess', 'demand', 'indicate', 'request', 'awaken', 'instruction', 'decision', 'stop', 'ask', 'inclination', 'meet', 'play', 'address', 'entice', 'visit', 'read', 'telecommunicate', 'challenge', 'telephone', 'label', 'utter', 'see', 'order']",1,VERB,VERB,True,0.0,0.5857004523277283
['worm'],['insect'],1,eng,"['invertebrate', 'malevolent_program', 'unpleasant_person', 'screw', 'move']","['swarm', 'arthropoda', 'arthropod', 'unpleasant_person']",1,NOUN,NOUN,True,0.0,0.6565741896629333
"['to call', 'to call for']","['to ask', 'inquire']",1,eng,"['option', 'postpone', 'utterance', 'declare', 'animal_communication', 'guess', 'demand', 'indicate', 'request', 'awaken', 'instruction', 'decision', 'stop', 'ask', 'inclination', 'meet', 'play', 'address', 'entice', 'visit', 'read', 'telecommunicate', 'challenge', 'telephone', 'label', 'utter', 'see', 'order', 'communicate', 'request', 'get']","['request', 'address', 'communicate', 'demand', 'give_voice', 'communicate', 'probe', 'question']",1,VERB,VERB,True,0.0,0.6055322885513306
"['short', 'brief']",['quiet'],1,eng,"['make', 'victimize', 'position', 'contact', 'baseball_team', 'tract']","['change_intensity', 'sound_property', 'composure', 'comfort', 'order', 'calmness']",0,ADJ,ADJ,True,0.0,0.44925981760025024
['animal'],['fool'],1,eng,"['animalia', 'organism']","['consume', 'play', 'joke', 'deceive', 'clown', 'simpleton', 'victim']",0,NOUN,NOUN,True,0.0,0.42419272661209106
"['to beat', 'hit']",['to spoil'],1,eng,"['beat_generation', 'make', 'confuse', 'pace', 'nonconformist', 'beat', 'surpass', 'get_the_better_of', 'musical_time', 'stroke', 'glare', 'strike', 'cheat', 'tire', 'agitate', 'sound', 'oscillation', 'be', 'play', 'shape', 'move', 'periodic_event', 'sail', 'path', 'poetic_rhythm', 'sailing']","['stolen_property', 'decay', 'destroy', 'damage', 'modify', 'treat', 'fail', 'plundering', 'prevent', 'injury', 'desire']",0,VERB,VERB,True,0.0,0.6951974630355835
['to sweat'],"['to worry', 'be agitated']",1,eng,"['excrete', 'labor', 'secretion', 'agitation', 'condensation']","['rub', 'perturb', 'negative_stimulus', 'incise', 'anxiety', 'mind']",0,VERB,VERB,True,0.0,0.5697098970413208
['sky'],['dead'],1,eng,"['atmosphere', 'fling']","['time', 'people']",0,NOUN,ADJ,False,0.0,0.42120903730392456
['light'],['loud'],1,eng,"['lighten', 'condition', 'position', 'physical_property', 'ignite', 'fall', 'actinic_radiation', 'insight', 'friend', 'burn', 'scene', 'visual_property', 'illumination', 'ethical_motive', 'visual_signal', 'device', 'land', 'public_knowledge', 'source_of_illumination', 'expression', 'vitality', 'descend']",[],0,NOUN,NOUN,True,0.0,0.502232015132904
['weapon'],['army'],1,eng,"['persuasion', 'instrument']","['military_service', 'crowd', 'agency']",0,NOUN,NOUN,True,0.0,0.5525001287460327
['fellow traveller'],['spouse'],1,eng,"['sympathizer', 'traveler']","['relative', 'marriage', 'domestic_partner']",0,NOUN,NOUN,True,0.0,0.40417590737342834
['to listen'],"['to learn', 'study']",1,eng,"['concentrate', 'obey', 'perceive']","['inform', 'study']",0,VERB,VERB,True,0.0,0.5859873294830322
['angry'],['brave'],1,eng,[],"['warrior', 'people', 'defy']",0,ADJ,NOUN,False,0.0,0.49091774225234985
['noise'],['pig'],1,eng,"['trouble', 'incomprehensibility', 'irregularity', 'sound', 'cry']","['live', 'eat', 'vulgarian', 'swine', 'sus', 'ingot', 'selfish_person', 'give_birth', 'policeman', 'mold']",0,NOUN,NOUN,True,0.0,0.43482792377471924
['ermine; stoat'],['Siberian weasel'],1,eng,[],[],0,NOUN,NOUN,True,0.0,0.27878695726394653
['black grouse'],['hazel grouse'],1,eng,"['grouse', 'lyrurus']",[],0,NOUN,NOUN,True,0.0,0.5659729838371277
['mouse'],['rat'],1,eng,"['manipulate', 'walk', 'bruise', 'rodent', 'person', 'electronic_device']","['capture', 'defect', 'unpleasant_person', 'informant', 'rodent', 'hire', 'worker', 'inform', 'pad', 'work']",1,NOUN,NOUN,True,0.0,0.6941325068473816
['perch'],['ruff'],1,eng,"['freshwater_fish', 'sit', 'perciformes', 'seat', 'support', 'percidae', 'land', 'percoid_fish', 'linear_unit', 'area_unit', 'put']","['turn', 'sandpiper', 'external_body_part', 'collar', 'move', 'philomachus']",0,NOUN,NOUN,True,0.0,0.6913049221038818
['mouse'],"['little', 'small']",1,eng,"['manipulate', 'walk', 'bruise', 'rodent', 'person', 'electronic_device']",['small_indefinite_quantity'],0,NOUN,ADJ,False,0.0,0.44162046909332275
['sound'],['fame'],1,eng,"['sensation', 'announce', 'sound_property', 'body_of_water', 'quantify', 'cause_to_be_perceived', 'look', 'auditory_communication', 'mechanical_phenomenon', 'pronounce', 'channel', 'happening', 'language_unit']","['honor', 'repute']",0,NOUN,NOUN,True,0.0,0.4607633650302887
['to open'],['to begin'],1,eng,"['yield', 'start', 'outside', 'expose', 'undo', 'arise', 'change_state', 'public_knowledge', 'move', 'tournament', 'area']","['act', 'talk', 'be', 'achieve']",0,VERB,VERB,True,0.0,0.6088879704475403
['shapeless'],"['ugly', 'unpleasant']",1,eng,[],[],0,NOUN,ADV,False,0.0,0.5285949110984802
['to blow'],['to speak'],1,eng,"['stimulate', 'burst', 'fail', 'cocaine', 'exhale', 'exhaust', 'rest', 'stroke', 'overstate', 'sound', 'spurt', 'travel', 'shape', 'unwrap', 'send', 'surprise', 'move', 'impact', 'wind', 'use', 'lay', 'spend', 'go', 'happening', 'exhalation']","['sound', 'communicate']",1,VERB,VERB,True,0.0,0.5014176368713379
"['net', 'toils', 'network']",['spider'],1,eng,"['trap', 'fabric', 'yield', 'income', 'weave', 'goal', 'catch', 'computer_network', 'game_equipment', 'profit']","['frying_pan', 'araneae', 'arachnid', 'program']",0,NOUN,NOUN,True,0.0,0.4344688057899475
['dark'],['blind'],1,eng,"['illumination', 'condition', 'time_period', 'unenlightenment', 'scene']","['protective_covering', 'darken', 'misrepresentation', 'screen', 'change', 'people']",0,NOUN,NOUN,True,0.0,0.522567868232727
"['rope', 'string', 'cord', 'lashing']",['unit of length'],1,eng,"['flunitrazepan', 'tie', 'line', 'get']",[],0,NOUN,NOUN,True,0.0,0.29512056708335876
['ram'],['battering-ram'],1,eng,"['thrust', 'collide', 'tool', 'stuff', 'volatile_storage', 'person', 'sheep']",[],0,NOUN,NOUN,True,0.0,0.5628641247749329
['shell'],['spoon'],1,eng,"['scute', 'make', 'racing_boat', 'bombard', 'housing', 'remove', 'emerge', 'hit', 'shield', 'hull', 'ammunition', 'gather', 'get_the_better_of', 'animal_material', 'covering']","['neck', 'containerful', 'remove', 'cutlery', 'container', 'wood']",1,NOUN,NOUN,True,0.0,0.49770620465278625
['to lick'],['spoon'],1,eng,"['touch', 'understand', 'drink', 'beat', 'sediment', 'blow', 'stroke']","['neck', 'containerful', 'remove', 'cutlery', 'container', 'wood']",0,VERB,NOUN,False,0.0,0.5099681615829468
['chip'],['spoon'],1,eng,"['snack_food', 'shape', 'semiconductor_device', 'droppings', 'separate', 'shoot', 'approach', 'float', 'blemish', 'fragment', 'cut', 'counter', 'breakage']","['neck', 'containerful', 'remove', 'cutlery', 'container', 'wood']",0,NOUN,NOUN,True,0.0,0.4629688560962677
"['to mix', 'stir']",['dough'],1,eng,"['manipulate', 'compound', 'change_integrity', 'add', 'combination', 'concoction', 'change', 'combining']","['concoction', 'money']",1,VERB,NOUN,False,0.0,0.4699181318283081
['to go up'],['dough'],1,eng,"['come', 'travel', 'burn', 'grow', 'rise']","['concoction', 'money']",0,VERB,NOUN,False,0.0,0.44897064566612244
['table; desk'],['meal'],1,eng,[],"['nutriment', 'foodstuff', 'occasion']",0,NOUN,NOUN,True,0.0,0.36246082186698914
['furniture'],['office'],1,eng,['furnishing'],"['duty', 'place_of_business', 'state', 'occupation', 'rite', 'administrative_unit', 'staff']",0,NOUN,NOUN,True,0.0,0.4492805302143097
['barley'],['bread'],1,eng,"['hordeum', 'cereal', 'grain']","['cover', 'money', 'baked_goods', 'starches']",0,NOUN,NOUN,True,0.0,0.5007306933403015
['yellow'],['honey'],1,eng,"['chromatic_color', 'discolor']","['sweeten', 'sweetening', 'lover']",0,NOUN,NOUN,True,0.0,0.47110098600387573
['wind'],['to winnow'],1,eng,"['influence', 'musical_instrument', 'intertwine', 'guidance', 'weather', 'travel', 'smell', 'tighten', 'talk', 'move', 'raise', 'reflex', 'exhalation', 'be', 'rotation']","['fan', 'sift', 'choose', 'remove', 'separation']",0,NOUN,VERB,False,0.0,0.4440561830997467
['bald'],"['hummel', 'hornless']",1,eng,['turn'],[],0,NOUN,NOUN,True,0.0,0.44822219014167786
['to swim'],"['to beat', 'hit']",1,eng,"['water_sport', 'be', 'travel']","['beat_generation', 'make', 'confuse', 'pace', 'nonconformist', 'beat', 'surpass', 'get_the_better_of', 'musical_time', 'stroke', 'glare', 'strike', 'cheat', 'tire', 'agitate', 'sound', 'oscillation', 'be', 'play', 'shape', 'move', 'periodic_event', 'sail', 'path', 'poetic_rhythm', 'sailing']",1,VERB,VERB,True,0.0,0.572745680809021
['liver'],['location of emotions'],1,eng,"['variety_meat', 'person', 'internal_organ', 'inhabitant']",[],0,NOUN,NOUN,True,0.0,0.17954730987548828
['back'],['surface'],1,eng,"['switch', 'side', 'football_player', 'backfield', 'travel', 'protective_covering', 'lie', 'skeletal_structure', 'confirm', 'support', 'strengthen', 'position', 'approve', 'finance', 'cloth_covering', 'body_part', 'secondary', 'bet']","['device', 'cover', 'layer', 'boundary', 'artifact', 'aspect', 'public_knowledge', 'appear', 'ascend']",0,ADV,NOUN,False,0.0,0.35732942819595337
['monarch'],['husband'],1,eng,"['danaid', 'head_of_state', 'danaus', 'ruler']","['save', 'spouse']",0,NOUN,NOUN,True,0.0,0.38300901651382446
['to flow'],['to grow numb'],1,eng,"['course', 'natural_process', 'discharge', 'exist', 'rate', 'change_of_location', 'move', 'shed_blood', 'flood', 'motion']",[],0,VERB,VERB,True,0.0,0.5072813630104065
['storehouse; depo'],['shop'],1,eng,[],"['course', 'obtain', 'support', 'inform', 'mercantile_establishment', 'workplace', 'search']",0,NOUN,NOUN,True,0.0,0.6089262366294861
['to bury'],['to destroy'],1,eng,"['situate', 'hide', 'lay', 'enclose', 'implant']","['get_the_better_of', 'kill', 'unmake']",0,VERB,VERB,True,0.0,0.5726945400238037
"['herder', 'herdsman', 'shepherd']",['fool'],1,eng,['hired_hand'],"['consume', 'play', 'joke', 'deceive', 'clown', 'simpleton', 'victim']",0,NOUN,NOUN,True,0.0,0.5524958968162537
['shadow'],"['protection', 'patronage']",1,eng,"['recourse', 'dominate', 'presence', 'darken', 'spy', 'follow', 'scene', 'indication', 'foreboding', 'illusion', 'shade', 'follower']","['endorsement', 'extortion', 'imposition', 'assets', 'security', 'activity', 'covering']",0,NOUN,NOUN,True,0.0,0.3328382968902588
['to listen'],"['to smell', 'scent']",1,eng,"['concentrate', 'obey', 'perceive']","['perceive', 'modality', 'sensation', 'smell', 'cause_to_be_perceived', 'sensing', 'exteroception', 'property', 'suggest', 'atmosphere']",1,VERB,VERB,True,0.0,0.47312283515930176
"['to shine', 'glitter']",['to boast'],1,eng,"['happen', 'look', 'feel', 'brightness', 'fancify', 'be', 'emit']","['speech_act', 'overstate', 'have']",0,VERB,VERB,True,0.0,0.7398959994316101
['to cut'],['to dilute'],1,eng,"['turn', 'make', 'switch', 'furrow', 'excerpt', 'shuffle', 'reap', 'shorten', 'penetrate', 'design', 'fashion', 'perform', 'throw', 'canal', 'emasculate', 'stroke', 'opening', 'free', 'fell', 'produce', 'look', 'weaken', 'meat', 'function', 'hit', 'stop', 'wound', 'write', 'change', 'share', 'be', 'absence', 'transit', 'gradation', 'separate', 'pass', 'extinguish', 'dissolve', 'cope', 'interrupt', 'move', 'transition', 'miss', 'decrease', 'record', 'division', 'abuse', 'editing', 'treat', 'grow', 'rebuff', 'shortening']","['weaken', 'corrupt']",1,VERB,VERB,True,0.0,0.543511688709259
['to lengthen'],['to dilute'],1,eng,"['increase', 'grow']","['weaken', 'corrupt']",0,VERB,VERB,True,0.0,0.4414955675601959
"['to baptize', 'christen']",['to dilute'],1,eng,['name'],"['weaken', 'corrupt']",0,VERB,VERB,True,0.0,0.5073560476303101
['fruit'],['head'],1,eng,"['consequence', 'bear', 'reproductive_structure', 'product']","['subject', 'precede', 'projection', 'object', 'obverse', 'remove', 'word', 'direct', 'form', 'cognition', 'mark', 'drug_user', 'educator', 'leader', 'be', 'perversion', 'individual', 'lie', 'progress', 'formation', 'line', 'external_body_part', 'striker', 'control', 'originate', 'foam', 'linear_unit', 'natural_elevation', 'pressure', 'juncture', 'domestic_animal', 'membrane', 'top', 'toilet', 'structure', 'plant_organ', 'point', 'coil', 'beginning', 'front', 'proceed']",0,NOUN,NOUN,True,0.0,0.3462912142276764
['to burn'],"['to cure', 'treat']",1,eng,"['waste', 'consume', 'destroy', 'damage', 'execute', 'shine', 'produce', 'hyperpigmentation', 'pain', 'change_state', 'feel', 'treat', 'blemish', 'ache', 'discolor', 'change_integrity', 'injury']","['help', 'preserve', 'medicine', 'change', 'harden']",0,VERB,VERB,True,0.0,0.5063506960868835
['green'],['glaucoma'],1,eng,"['vegetable', 'chromatic_color', 'environmentalist', 'ketamine', 'discolor', 'green_party', 'tract', 'site']",['eye_disease'],0,ADJ,NOUN,False,0.0,0.3962043225765228
['to cut'],['to mow grass'],1,eng,"['turn', 'make', 'switch', 'furrow', 'excerpt', 'shuffle', 'reap', 'shorten', 'penetrate', 'design', 'fashion', 'perform', 'throw', 'canal', 'emasculate', 'stroke', 'opening', 'free', 'fell', 'produce', 'look', 'weaken', 'meat', 'function', 'hit', 'stop', 'wound', 'write', 'change', 'share', 'be', 'absence', 'transit', 'gradation', 'separate', 'pass', 'extinguish', 'dissolve', 'cope', 'interrupt', 'move', 'transition', 'miss', 'decrease', 'record', 'division', 'abuse', 'editing', 'treat', 'grow', 'rebuff', 'shortening']",[],0,VERB,VERB,True,0.0,0.47520747780799866
"['board', 'plank']",['table; desk'],1,eng,"['populate', 'use', 'sheet', 'surface', 'enter', 'table', 'provide', 'display', 'printed_circuit', 'fare', 'electrical_device', 'committee', 'lumber']",[],0,NOUN,NOUN,True,0.0,0.4980340301990509
['to throw'],['to speak'],1,eng,"['turn', 'engage', 'remove', 'direct', 'put', 'opportunity', 'upset', 'be', 'propel', 'movement', 'shape', 'send', 'propulsion', 'express', 'move', 'communicate', 'bedclothes', 'gambling', 'dislodge']","['sound', 'communicate']",1,VERB,VERB,True,0.0,0.4676856994628906
['to sprinkle'],['to cut'],1,eng,"['rain', 'shower', 'discharge', 'scatter', 'watering', 'wet']","['turn', 'make', 'switch', 'furrow', 'excerpt', 'shuffle', 'reap', 'shorten', 'penetrate', 'design', 'fashion', 'perform', 'throw', 'canal', 'emasculate', 'stroke', 'opening', 'free', 'fell', 'produce', 'look', 'weaken', 'meat', 'function', 'hit', 'stop', 'wound', 'write', 'change', 'share', 'be', 'absence', 'transit', 'gradation', 'separate', 'pass', 'extinguish', 'dissolve', 'cope', 'interrupt', 'move', 'transition', 'miss', 'decrease', 'record', 'division', 'abuse', 'editing', 'treat', 'grow', 'rebuff', 'shortening']",0,VERB,VERB,True,0.0,0.5848066210746765
['affair'],"['commerce', 'business']",1,eng,"['sexual_relationship', 'social_event', 'concern']","['conversation', 'executive_department', 'transaction']",0,NOUN,NOUN,True,0.0,0.37974461913108826
['bee'],"['industrious', 'diligent person']",1,eng,"['apoidea', 'hymenopterous_insect', 'social_gathering']",[],0,NOUN,ADJ,False,0.0,0.42185351252555847
['to rub'],['to wash'],1,eng,"['touch', 'irritate', 'guide', 'contact', 'obstacle']","['water-base_paint', 'white_goods', 'remove', 'erode', 'stand', 'cleanse', 'clean', 'flow', 'be', 'serve', 'separate', 'business_activity', 'watercolor', 'move', 'garment', 'soil_erosion', 'streambed', 'cover', 'wet', 'work']",0,VERB,VERB,True,0.0,0.6378760933876038
"['to beat', 'hit']",['to wash'],1,eng,"['beat_generation', 'make', 'confuse', 'pace', 'nonconformist', 'beat', 'surpass', 'get_the_better_of', 'musical_time', 'stroke', 'glare', 'strike', 'cheat', 'tire', 'agitate', 'sound', 'oscillation', 'be', 'play', 'shape', 'move', 'periodic_event', 'sail', 'path', 'poetic_rhythm', 'sailing']","['water-base_paint', 'white_goods', 'remove', 'erode', 'stand', 'cleanse', 'clean', 'flow', 'be', 'serve', 'separate', 'business_activity', 'watercolor', 'move', 'garment', 'soil_erosion', 'streambed', 'cover', 'wet', 'work']",1,VERB,VERB,True,0.0,0.5145025253295898
"['stone', 'rock']",['sky'],1,eng,"['pericarp', 'material', 'coldness', 'kill', 'avoirdupois_unit', 'building_material', 'remove', 'crystal', 'natural_object']","['atmosphere', 'fling']",0,NOUN,NOUN,True,0.0,0.3962298333644867
['mountain'],['cloud'],1,eng,"['large_indefinite_quantity', 'natural_elevation']","['mar', 'physical_phenomenon', 'hide', 'billow', 'group', 'spot', 'atmospheric_phenomenon', 'darken', 'change', 'dull', 'suspicion', 'gloom', 'unreality', 'affect']",0,NOUN,NOUN,True,0.0,0.4530888497829437
"['to ask', 'inquire']",['to teach'],1,eng,"['request', 'address', 'communicate', 'demand', 'give_voice']","['inform', 'habituate']",0,VERB,VERB,True,0.0,0.4772951304912567
['sky'],['day'],1,eng,"['atmosphere', 'fling']","['opportunity', 'time', 'time_period', 'work_time', 'calendar_day', 'era', 'sidereal_time', 'time_unit']",0,NOUN,NOUN,True,0.0,0.41827115416526794
['to milk'],['to derive profit'],1,eng,"['liquid_body_substance', 'exploit', 'beverage', 'foodstuff', 'add', 'dairy_product', 'nutriment', 'draw']",[],0,VERB,VERB,True,0.0,0.3697880506515503
['to burn'],['to suffer'],1,eng,"['waste', 'consume', 'destroy', 'damage', 'execute', 'shine', 'produce', 'hyperpigmentation', 'pain', 'change_state', 'feel', 'treat', 'blemish', 'ache', 'discolor', 'change_integrity', 'injury']","['perceive', 'permit', 'worsen', 'feel', 'tend', 'experience', 'be']",1,VERB,VERB,True,0.0,0.6563395857810974
['to give'],['to throw'],1,eng,"['make', 'inflict', 'permit', 'accept', 'transfer', 'stretch', 'perform', 'submit', 'release', 'give', 'elasticity', 'direct', 'think', 'happen', 'administer', 'produce', 'change', 'compensate', 'lead', 'pass', 'provide', 'state', 'express', 'move', 'show', 'offer', 'distribute', 'supply', 'use', 'communicate', 'tell', 'execute', 'utter', 'pledge', 'estimate', 'toast', 'accord']","['turn', 'engage', 'remove', 'direct', 'put', 'opportunity', 'upset', 'be', 'propel', 'movement', 'shape', 'send', 'propulsion', 'express', 'move', 'communicate', 'bedclothes', 'gambling', 'dislodge']",1,VERB,VERB,True,0.0,0.6695749163627625
['to tie'],['to begin'],1,eng,"['equality', 'fastener', 'brace', 'shape', 'cord', 'slur', 'fasten', 'relationship', 'connect', 'restrict', 'relate', 'finish', 'fashion', 'equal', 'beam', 'officiate', 'neckwear']","['act', 'talk', 'be', 'achieve']",0,VERB,VERB,True,0.0,0.5343406200408936
"['to see', 'to look at']","['to investigate', 'examine']",1,eng,"['watch', 'perceive', 'receive', 'consort', 'tour', 'bet', 'think', 'undergo', 'verify', 'understand', 'accompany', 'visit', 'imagine', 'detect', 'consider', 'care', 'seat', 'see', 'experience', 'analyze', 'think_about']","['analyze', 'probe', 'question', 'evaluate', 'investigate']",1,VERB,VERB,True,0.0,0.6573871970176697
['stick'],['punishment'],1,eng,"['lever', 'confuse', 'fasten', 'limb', 'attach', 'touch', 'persist', 'cigarette', 'stay_in_place', 'be', 'force', 'implement', 'decorate', 'margarine', 'adopt', 'punishment', 'leg', 'pierce', 'sports_equipment', 'butter']",['social_control'],0,NOUN,NOUN,True,0.0,0.4638791084289551
['right'],['honest'],1,eng,"['abstraction', 'turn', 'interest', 'justice', 'position', 'hand', 'change', 'change_by_reversal', 'tract', 'change_posture', 'faction']",[],0,NOUN,NOUN,True,0.0,0.5893710255622864
['sharp'],['hot'],1,eng,"['sewing_needle', 'musical_notation']",[],0,ADJ,ADJ,True,0.0,0.5248310565948486
['quiet'],['calm'],1,eng,"['change_intensity', 'sound_property', 'composure', 'comfort', 'order', 'calmness']","['wind', 'disposition', 'stabilize', 'change_state', 'comfort', 'affect']",1,ADJ,NOUN,False,0.0,0.7980672121047974
['quiet'],['secret; covert'],1,eng,"['change_intensity', 'sound_property', 'composure', 'comfort', 'order', 'calmness']",[],0,ADJ,NOUN,False,0.0,0.40261679887771606
['sharp'],['bad'],1,eng,"['sewing_needle', 'musical_notation']",['quality'],0,ADJ,ADJ,True,0.0,0.5570259094238281
['star'],['grandmother'],1,eng,"['actor', 'celestial_body', 'mark', 'galaxy', 'performer', 'expert', 'character', 'constellation', 'perform', 'topology', 'plane_figure', 'have']",['grandparent'],0,NOUN,NOUN,True,0.0,0.4848027527332306
['strong'],['brave'],1,eng,[],"['warrior', 'people', 'defy']",0,ADJ,NOUN,False,0.0,0.591883659362793
['cold'],['stupid'],1,eng,"['temperature', 'communicable_disease', 'respiratory_disease', 'vasoconstrictor']",['simpleton'],0,NOUN,ADJ,False,0.0,0.41480737924575806
['heavy'],['big'],1,eng,"['actor', 'character']",[],0,ADJ,ADJ,True,0.0,0.7264586091041565
['heavy'],['strong'],1,eng,"['actor', 'character']",[],0,ADJ,ADJ,True,0.0,0.7028859257698059
"['horseman', 'rider']",['of high rank'],1,eng,"['rider', 'animal_fancier']",[],0,NOUN,NOUN,True,0.0,0.27554360032081604
['stove'],['house'],1,eng,"['equip', 'burst', 'kitchen_appliance', 'heater']","['play', 'legislature', 'building', 'shelter', 'community', 'dwelling', 'family', 'region', 'accommodate', 'unit', 'management', 'business', 'audience']",0,NOUN,NOUN,True,0.0,0.5077990889549255
['to enter'],['to flow into'],1,eng,"['attach', 'get_down', 'register', 'succeed', 'take_office', 'save', 'be']",[],0,VERB,VERB,True,0.0,0.6663956642150879
['rooster'],['brave person'],1,eng,['chicken'],[],0,NOUN,NOUN,True,0.0,0.3087470531463623
"['to tear', 'rend']",['to move quickly'],1,eng,"['revel', 'rush', 'opening', 'separate', 'drop', 'strip', 'separation', 'cry']",[],0,VERB,VERB,True,0.0,0.46374163031578064
['red'],['angry'],1,eng,"['chromatic_color', 'radical', 'sum']",[],0,ADJ,ADJ,True,0.0,0.42293569445610046
['red'],['rich'],1,eng,"['chromatic_color', 'radical', 'sum']",['people'],0,ADJ,ADJ,True,0.0,0.33673152327537537
['to answer'],['to agree'],1,eng,"['refute', 'solve', 'pleading', 'statement', 'react', 'state', 'match', 'satisfy', 'reply', 'reaction', 'be', 'meet']","['suit', 'accept', 'equal', 'match']",1,VERB,VERB,True,0.0,0.5407125353813171
['to pull up'],['to destroy'],1,eng,"['straighten', 'stop', 'remove']","['get_the_better_of', 'kill', 'unmake']",0,VERB,VERB,True,0.0,0.5190919637680054
['stupid'],['fat'],1,eng,['simpleton'],"['lipid', 'change', 'bodily_property', 'animal_tissue']",0,ADJ,NOUN,False,0.0,0.48815926909446716
['pure'],['good'],1,eng,[],"['morality', 'advantage', 'quality', 'artifact']",0,NOUN,ADJ,False,0.0,0.5705556273460388
['sizing tool'],"['rule', 'regulations']",1,eng,[],"['generalization', 'law', 'duration', 'decide', 'restrict', 'control', 'concept', 'pronounce', 'attach_to', 'direction', 'dominance', 'procedure', 'measuring_stick', 'draw', 'practice']",0,NOUN,NOUN,True,0.0,0.14516881108283997
['to be born'],['birthmark'],1,eng,['change_state'],['blemish'],0,VERB,NOUN,False,0.0,0.4813533127307892
"['ship', 'vessel']",['shuttle'],1,eng,"['fleet', 'travel', 'hire', 'move', 'vessel', 'board', 'put']","['badminton_equipment', 'public_transport', 'travel', 'bobbin']",1,NOUN,NOUN,True,0.0,0.6370434165000916
['to shoot'],['shuttle'],1,eng,"['consume', 'injure', 'weave', 'throw', 'rush', 'measure', 'administer', 'hit', 'score', 'project', 'kill', 'ache', 'fire', 'shooting', 'emit', 'insert', 'record', 'utter', 'grow', 'sprout']","['badminton_equipment', 'public_transport', 'travel', 'bobbin']",0,VERB,NOUN,False,0.0,0.43396058678627014
['to roast'],['to quarrel'],1,eng,"['mock', 'cut', 'criticism', 'cook']","['argue', 'arrow', 'dispute']",0,VERB,VERB,True,0.0,0.49073734879493713
['bow-string'],['belt'],1,eng,[],"['accessory', 'loop', 'sing', 'fasten', 'blow', 'path', 'hit', 'region', 'ammunition']",0,NOUN,NOUN,True,0.0,0.4956418573856354
