sense_1,sense_2,main_cl
непонятливый,небрежный неряшливый,510
непонятливость,небрежность неряшливость,652
непонятливость,беззаботность беспечность,624
выбирать выбрать избирать избрать кого,отнимать отнять вычитать вычесть что,3005
связывать связать завернув во что либо,пеленать спеленать кого,1769
ручка,дужка,296
становиться стать несолёным,становиться стать пресным о человеке,1144
соревноваться друг с другом,вести полемику полемизировать дискутировать друг с другом,1377
соревноваться друг с другом,спорить друг с другом пререкаться между собой,1343
прерывать прервать перебивать перебить кого что,мешать помешать кому заниматься чем л,2646
ученик ученица учащийся учащаяся,читатель,733
читать прочитать что,учиться,1117
распиливать распилить что,перепиливать перепилить что на части,1979
ближний близлежащий,близкий,911
укорачивать укоротить что,сокращать сократить что,1997
напяливать напялить натягивать натянуть что с трудом,насаживать насадить одно на другое с трудом,1776
побуд от ахъышвтра опрокидывать опрокинуть что,переворачивать перевернуть страницу,2062
побуд от ахъышвтра опрокидывать опрокинуть что,перебрасывать перебросить что через что,1708
закрывать закрыть что,накрывать накрыть покрывать покрыть что чем,1922
гонять гнать погонять кого вокруг чего,гоняться гнаться за кем,2515
читать прочитать вместе что,учиться вместе с кем,1403
поворачивать повернуть что,кривить скривить что,1709
бодаться друг с другом,подковыривать подковырнуть друг друга,1329
одной породы,одного сорта,225
выходить выйти из под чего,вылезать вылезти из под чего,2274
выпадать выпасть о зубах,отскакивать отскочить отставать отстать о подошве каблуке и,2159
прибывать прибыть вслед за кем чем приходить прийти приезжать приехать приплывать приплыть прилетать прилететь,следовать последовать идти пойти вслед за кем чем по направлению к говорящему,1842
грусть тоска,страдание,448
грусть тоска,страдание,448
ринуться броситься куда,обрушиваться обрушиться обваливаться обвалиться,2186
становиться стать ясным определённым,становиться стать известным популярным,1179
воспитывать воспитать кого,обучать обучить кого,1256
становиться стать хорошим добрым,становиться стать добротным доброкачественным,1186
сплетник сплетница,сквернослов,346
становиться стать приятным,становиться стать приветливым,1144
табун,стая,47
воодушевление,радость,905
надежда,мечта,912
становиться стать широким просторным,становиться стать толстым потолстеть растолстеть,1190
обрядовое причитание обрядовый плач,песня плач,1684
самый холодный период зимы,январь,886
прорастать прорасти,набухание,1142
светло жёлтый рыжий,буланый о масти,949
бежать побежать по направлению к говорящему,течь бежать по направлению к говорящему о воде,1843
созывать созвать кого что,скликать кого,1234
расти вырасти о растениях зубах,расти произрастать,1141
обматывать обмотать что чем," огораживать, огородить что",1710
вытаскивать вытащить выдёргивать выдернуть гвоздь перья траву,вырывать вырвать что,1763
приносить принести что по направлению к говорящему,нести что по направлению к говорящему,1837
сходить сойти с чего по направлению к говорящему,уходить уйти откуда,3022
показывать показать демонстрировать продемонстрировать что,указывать указать показывать показать что,1105
показывать показать демонстрировать продемонстрировать что,указывать указать показывать показать что,1105
показывать показать демонстрировать продемонстрировать что,обнаруживать обнаружить проявлять проявить что,1105
возвращать вернуть от да вать отдать что,поворачивать,2056
оставаться остаться в чём,оставаться остаться где,3037
отпускать отпустить распускать распустить кого,пускать пустить что,2977
раскрывать раскрыть что,открывать открыть учебное заведение театр клуб и амитинг г ахът ра открыть митинг,1252
раскрывать раскрыть что,открывать открыть учебное заведение театр клуб и амитинг г ахът ра открыть митинг,1252
раскрывать раскрыть что,обнаруживать обнаружить открывать открыть что,1134
раскрывать раскрыть что,обнаруживать обнаружить открывать открыть что,1134
раскрывать раскрыть что,раскрывать раскрыть что,1134
переходить перейти переезжать переехать через горы и п по направлению к говорящему,сходить сойти,2228
щипать выщипывать выщипать что,обрывать оборвать срывать сорвать что,1774
становиться стать тёмно серым,становиться стать тёмно коричневым,1194
становиться стать тёмно серым,становиться стать тёмно коричневым,1194
бегать бежать побежать,скакать поскакать о лошади,2554
одетый,одевать одеть кого что,2899
спор тяжба,скандал,48
шум,гул мотора и,990
шум,гул мотора и,990
мир свет вселенная,жизнь,924
коченеть окоченеть,сдыхать сдохнуть подыхать подохнуть,1524
знать быть осведомлённым,быть знакомым с кем зпать кого,1248
отправлять отправить кого что в направлении от говорящего,снаряжать снарядить в дорогу кого,1846
аффикс указывающий на конечный пункт до,суффикс передающий оттенки совсем окончательно,1035
река,водный,957
река,речной,957
парод общество,общество,1089
уметь суметь найти разыскать кого что,найти разыскать кого что для кого,2883
уметь суметь выгнать кого,уметь суметь распутать раскрыть преступление и,2503
нигде,никуда,720
уметь суметь успокоить кого,успокаивать успокоить кого по чьей либо просьбе,2730
пень,чурбан,334
ударять ударить,бодаться,1661
смотреть посмотреть сверху вниз,взглянуть мельком,1111
кибла сторона в которую мусульмане обращаются лицом во время молитвы,юг,817
смелость мужественность,энергичность,636
крепость,город,968
крепость,крепостной,156
крепость,городской,968
красный,и рыжий,943
красный,и рыжий,943
тесать вытесать что и без доп,строгать выстрогать что и без доп,2124
становиться стать широким,становиться стать плоским ровным,1190
весело,бодро,83
перевозка груза по найму,перевозка грузов сообща на нескольких повозках,1221
перевозка груза по найму,перевозка грузов сообща на нескольких повозках,1221
проваливаться провалиться,исчезать исчезнуть мгновенно,1514
госпожа,княжна княгиня,1056
седлать оседлать лошадь,собираться собраться в дорогу,1847
топтать вытоптать травить потравить посевы и,бить побить избивать избить кого,2100
дурак глупец,и сумасшедший,574
быстро,вскоре,264
искоса смотреть посмотреть на кого,косо смотреть посмотреть на кого,1109
дымоход дымоходная труба,дом домашний очаг уг айгва лгва тыц ыртак х аргьи йх ымап заходи будь гостем у нас тоже свой дом,1742
грязный загрязнённый,нечистоплотный,535
беспричинно,без горя не зная горя,523
человек выполняющий секретное тайное поручение,человек разглашающий тайну,775
выполнять выполнить секретное тайное поручение,разглашать разгласить тайну,1253
счастливый радостный солнечный день,счастье,913
непрочный,слабый о человеке,464
рука,часть руки от плеча до кисти плечо с предплечьем з мачв,2586
локоть,изгиб поворот дороги,994
болеть расстройством желудка,болеть дизентерией,1608
муфтий толкователь шариата законовед даю щи й заключения по духовным и юри дическим вопросам,духовный глава мусульман,818
муфтий толкователь шариата законовед даю щи й заключения по духовным и юри дическим вопросам,духовный глава мусульман,818
муфтий толкователь шариата законовед даю щи й заключения по духовным и юри дическим вопросам,духовный глава мусульман,818
посевы гвалз мхы посевы пшеницы,урожай,877
прям огонь,костёр,269
полнолуние,лунная ночь,989
шарить,воровать,660
вырываться вырваться из рук,убегать убежать от кого,2526
бес преданиях человек принадлежа церемонный щий к богатырскому племени наспынтшаг ара,несчастье нартов,802
перех встречать чвы нкъвцауачва ленивый вол встретить кого,неперех встречаться встретить суета беготня ся,1881
путешествовать,хождение ходьба,238
становиться стать управляющим усадьбой князя,становиться стать советником советчиком,1192
перех резать срезать срезать рубать срубать что,перех перерезать перерезать что,2019
порода животных,сорт,394
жирный,полный тучный упитанный,86
быть жирным напр о мясе,быть полным тучным упитанным,1163
счёт,сумма,959
перех считать сосчитать кого что,неперех заниматься счётом пересчитыванием,1249
искать разыскивать разыскать кого что,обыск,1361
мягкий,слабый мягкий,94
смягчаться смягчиться,становиться стать нежным кротким,1164
нести что многим,нести многое вместо кого,2789
делить разделить что между многими,делить разделить многое вместо кого,3101
колодка сапожная,шесты служащие для растяжки шкур животных при высушивании,1751
удорожать удорожить чти поднимать поднять цепы на что,поднимать поднять чей л авторитет,1804
выполнять выполнить что,готовить приготовить что,2885
проверять проверить контролировать проконтролировать кого что,следить за кем чем выслеживать выследить кого,1405
проверять проверить контролировать проконтролировать кого что,испытывать испытать кого что,1405
пугать напугать испугать кого,запугивать запугать кого,2091
заставлять заставить кого потеть пропотеть,вгонять вогнать кого в краску заставлять заставить кого краснеть покраснеть,1570
мельчить измельчить что,разрыхлять разрыхлить что,1711
пугать напугать испугать кого,запугивать запугать кого,2091
шатать расшатывать расшатать что,двигать сдвинуть с места кого что,2064
шатать расшатывать расшатать что,качать укачивать кого что,1406
полезный,выгодный,131
быть полезным,быть выгодным,629
полезно,выгодно,256
становиться стать полезным,становиться стать выгодным,1184
становиться стать полезным,становиться стать выгодным,1184
субботник,субботний день,887
становиться стать добрым хорошим,становиться стать счастливым,1186
бдительность,осторожность осмотрительность,599
ежегодно каждый год,из года в год год от года сквшиг а дзапхьадза аколхозникква рхъа налах нт из года в год увеличиваются доходы колхозников,1020
ежегодно каждый год,из года в год год от года сквшиг а дзапхьадза аколхозникква рхъа налах нт из года в год увеличиваются доходы колхозников,1020
рисунок картинка,снимок фотография,768
рисунок картинка,снимок фотография,768
рисунок картинка,снимок фотография,768
кататься прокатиться,сползать сползти,1642
кататься прокатиться,катание,357
набалдашник,палица,201
становиться стать точным правильным верным,становиться стать правдивым,1151
становиться стать правильным точным,становиться стать правдивым,1151
бедный неимущий,убогий скудный,454
беднеть обеднеть,скудеть оскудевать оскудеть,1607
беднеть обеднеть,бедность,104
беднеть обеднеть,скудость скудность,454
бедно,убого скудно,91
дом здание,квартира жилье,1080
жаловаться,хныканье ны,1662
становиться стать широким,становиться стать просторным,1190
скрести что внутри,выгрызть что изнутри,1749
сторона,край местность,995
дорогой ценный,высокий о ценах,730
дорогой ценный,высокий почётный важный,147
дорогой ценный,любимый милый дорогой при обращении,829
род племя,порода скота,365
перех бросаться броситься за в укрытие," еда в атьс я, сдаться кому",2528
падать упасть намеренно,бросаться броситься вниз намеренно,2549
падать упасть намеренно,бросаться броситься вниз намеренно,2549
наедаться наесться досыта,наживаться нажиться на чём,1629
сгибаться согнуться,сутулиться ссутулиться горбиться сгорбиться,2501
прикидываться прикинуться дурачком непонимающим,дурачиться валять дурака,2171
подпоясываться подпоясаться затягиваться затянуться,шкар потягиваться потянуться,1712
топиться утопиться,задыхаться задохнуться в дыму и,1744
быть мягким нетвёрдым,быть мягким мягкосердечным,536
брать взять напрокат что,брать взять в долг что,1413
брать взять напрокат что,брать взять в долг что,1413
брать взять напрокат что,брать взять в долг что,1413
семья семейство,домашнее хозяйство,1081
строитель созидатель,конструктор проектировщик,1090
быть притворным,быть модным модно одеваться,1153
притворяться притвориться,модно одеваться,1153
притворяться притвориться,кокетство,583
становиться стать модным,становиться стать кокетливым,1174
рана ранение,шрам след от ранения,179
становиться стать безволосым,лысеть полысеть,1195
своя беда,горе несчастье,888
поднимать поднять напр пыль асаба хъанаргылра поднять пыль,вывозить вывезти что вверх напр на гору,2439
неудачник,бездельник,49
быть неудачником неудачливым,бездельничать быть бездельником,1119
собственность личная собственность,частная собственность,1091
крениться накрениться,коситься покоситься,1664
перелетать перелететь что через что,пролетать пролететь над кем чем,2307
выть завыть,мычать замычать,1665
шея,воротник,415
поручать поручить что кому,поручение,1657
тяжелый,трудный тяжкий,41
рожать родить,приносить приплод о животных,1645
дотягиваться дотянуться до высоко расположенного,добиваться добиться цели,1139
суматоха,неприятность дрязги,457
запрет употреблять в пищу,запретный запрещённый о пище,1609
тяжёлый,тяжкий невыносимый,455
быть тяжёлым иметь большой вес,быть тяжким невыносимым,467
становиться стать тяжёлым утяжеляться утяжелиться,становиться стать тяжким невыносимым,1196
менять изменять изменить что,менять обменивать обменять что,1407
менять изменять изменить что,мена обмен,1407
нафталин,нафталинный,206
идти пойти,хождение езда,3030
чистый незамутнённый,чистый ясный,541
чистый незамутнённый,честный правдивый,537
быть чистым незамутнённым,быть аккуратным тщательным,558
быть чистым незамутнённым,быть честным правдивым,537
чистота незамутнён ность,честность правдивость,537
чисто,ясно чисто,87
чисто,честно правдиво,107
становиться стать чистым,становиться стать чётким правильным,1167
становиться стать чистым,становиться стать чистоплотным,1167
родной,дорогой милый родной при обращении,846
родной,дорогой милый родной при обращении,846
отделяться отделиться откалываться отколоться от кого чего,оставлять оставить в покое кого отставать отстать от кого,2924
блеск,яркий пёстрый,198
быть тонким а поперечнике,быть статным ладным,1154
становиться стать тонким утончаться утончиться,становиться стать статным ладным,1197
шататься расшататься,шевелиться пошевелиться шевельнуться,1548
шататься расшататься,шевеление,1548
челнок в швейной машине,катушка в ткацком станке,343
чугун чугунок посуда,чугун металл,285
молодость юность,мальчишество ребячество,882
делать сделать что,производить произвести изготовлять изготовить что,2030
делать сделать что,производить произвести изготовлять изготовить что,2030
бесцветность,серость невыразительность,542
становиться стать бесцветным,становиться стать серым невыразительным,1198
становиться стать злым,ста новиться стать жестоким,1199
обдирать ободрать что,общипывать общипать кого что,1272
белеть побелеть становиться стать белым,бледнеть побледнеть,1189
смотреть посмотреть в рот кому,смотреть посмотреть в упор на кого,1109
связывать связать кого что и без доп,завязывать завязать что и без доп,2481
расспрашивать расспросить кого о чём,советоваться посоветоваться с кем,1280
сильно скучать соскучиться о ком чём по кому чему,сильно любить полюбить кого,1254
опустошать опустошить что,опустошение,434
становиться стать энергичным деятельным,становиться стать быстрым проворным живым,1200
становиться стать энергичным деятельным,становиться стать ловким искусным,1200
коготь когти,ноготь ногти на но гах,371
ноготь ногти на ногах,копыто,426
путать спутать кого надевать надеть путы,запутывание дела,1454
дёрн,целина,199
дёрн,целин ныйг,199
мизинец ноги,стойка на носках на пальцах,416
посещать посетить друг друга,выслеживать друг друга,3073
гора,горное пастбище,987
становиться стать непрочным износиться,становиться стать слабым малосильным о человеке,1208
родственник,кровное родство,1064
родственник,кровное родство,1064
разрешение,согласие,663
без разрешения,без согласия,806
прибивать прибить одно к другому,склеивать склеить что,2630
раскалываться расколоться о льде дереве,полнеть пополнеть располнеть поправляться поправиться,1130
становиться стать попутчиками,становиться стать единомышленниками,1147
мчаться промчаться нестись пронестись мимо кого чего,течь протекать мимо чего о реке,2306
проходить пройти проезжать проехаты мимо кого чего,проходить пройти о времени,1375
земля,земельный,933
соизмерять соизмерить что с чем наложив одно на другое,собирать собрать копить накопить что,2631
быть находиться близко от кого чего,быть находиться близко друг к другу,2930
быть находиться близко от кого чего,быть близкими находиться в родственных отношениях,2930
слушать прослушать что,следовать последовать чьим л советам,1251
слушать прослушать что,повиноваться слушаться послушаться,1251
прощать простйть что кому,ам ннстйровать кого,2833
экономить что на чём,жалеть пожалеть щадить пощадить кого что,2669
экономить что на чём,жалость пощада,1602
неприличный,позорный,111
становиться стать упрямым заупрямиться,становиться стать упорным настойчивым,1215
жарить зажарить что в массе,жарить зажарить что на чём,1428
жарить зажарить что в массе,жарить зажарить что на чём,1428
жарить зажарить что в массе,жарить зажарить что на чём,1428
жарить зажарить что в массе,жарить зажарить что на чём,1428
быть находиться где участвовать в чём,быть находиться числиться где,1369
быть находиться где участвовать в чём,быть находиться числиться где,1369
быть находиться где участвовать в чём,находиться храниться напр о деньгах в сберкассе,2955
качаться покачиваться на ветру,трястись дрожать всем телом,2071
добавлять добавить в тесто напр муку изюм,месить замесить тесто чем,1817
вновь вступать вступить куда,вновь поддержать снова взять чью л сторону в споре драке и,1356
вновь вступать вступить куда,вновь сходиться сойтись с кем о супругах,3090
вновь вступать вступить куда, вновь слиться (объединиться),2595
причислять причислить кого что к кому чему,зачислять зачислить кого куда,2958
плести сплетать сплести что,соединять соединить напр концы верёвки проводов,2603
заводить завести включать включить мотор и,прикуривание,1580
разрушенный,разбитый разгромленный,155
разрушать разрушить что чем,разбивать разбить разгромить что чем,2619
разрушать разрушить что,разбивать разбить разгромить наголову кого что,2619
вплетать вплести что во что верёвку шпагат и,вить свивать свить что чем на чём напр верёвку на станке,1765
толочь что вместе счем напр чеснок с солью,взбалтывать взболтать что,1770
заводиться завестись о моторе,разогреваться разогреться разгорячиться от вина сильной ходьбы бега и,1569
падать упасть в густую массу,попадать попасть на праздник на банкет и,2514
кончать кончить завершать завершить что,приканчивать прикончить израсходовать продукты,1713
убавляться убавиться уменьшаться уменьшиться,худеть похудеть,1610
пресный,пресный о человеке,144
быть пресным,быть пресным о человеке,1156
свекровь,тёща анхъвпх а золовка,1046
вмещаться вместиться помещаться поместиться на каком либо виде транспорта,попадать попасть на доску почёта в газету и л,1848
читать прочитать что,учиться,1117
читать прочитать что,учёба,693
быть одинаковыми,быть похожими походить друг на друга,3093
закрывать закрыть что,запирать запереть что,1703
учить научить обучать обучить кого чему,приручать приручить кого,1256
учить научить обучать обучить кого чему,приручение,1256
знать что быть осведомлённым,быть знакомым ознакомиться с чем,1246
усаживать усадить посадить кого за что на что,сажать посадить кого на что,1877
коченеть окоченеть закоченеть,застывание,1666
закрывать закрыть что,накрывать накрыть покрывать покрыть что чем,1922
снимать снять что,снимать снять увольнять уволить кого,2979
уходить уйти уезжать уехать куда,уходить уйти увольняться уволиться с работы,2695
действие совершаемое совместно с кем чем напр ацчара есть вместе,пребывание вместе с кем чем л,1384
одной породы,одного сорта,225
мочить помочить квасить заквасить что,солить посолить что,1419
мочить помочить квасить заквасить что,мочка квашение,1419
мочить помочить квасить заквасить что,солка засолка,2012
разгораться разгореться,дружно пойти в рост,1529
растягиваться растянуться,разнашиваться разноситься растаптываться растоптаться об обуви атуфльаква ац ыц т туфли разносились,2467
лисий,хитрый,157
наставник советчик,дрессировщик,1092
быть находиться между кем чем,быть посредником посредничать,3031
язык,сплетня,1038
быть горячим очень горячим,жечь о боли при ожоге,1611
коса косы,грива,340
крепкий сильный о напитках,суровый строгий,600
крепко сильно,сурово строго,498
спешить торопиться,волнение беспокойство тревога,1478
надежда,мечта,912
воодушевляться воодушевиться,воодушевление,1667
становиться стать широким просторным,становиться стать толстым потолстеть растолстеть,1190
прорастать прорасти,набухать набухнуть о почках деревьев в,1142
бок,склон горы,1007
круглый,шарообразный,277
спускаться спуститься с чего по направлению к говорящему,сползать сползти с чего по направлению к говорящему,1271
вкатываться вкатиться в помещение по направлению к говорящему,вваливаться ввалиться в помещение по направлению к говорящему,1837
выбрасывать выбросить кого что из помещения по направлению к говорящему,выталкивать вытолкнуть кого из помещения по направлению к говорящему,2403
расти вырасти о растениях зубах,расти произрастать,1141
класть положить чтона поверхность,облагать обложить кого что налогом,1224
пролезать пролезть через отверстие по направлению к говорящему,разг приплестись двигаясь по направлению к говорящему,2352
портиться испортиться о погоде,грустить загрустить,1482
спускаться спуститься бегом по направлению к говорящему,течь по направлению к говорящему вниз,2352
вытаскивать вытащить вынимать вынуть что,добывать добыть получать получить что из чего,2016
неперех ходить гулить прохаживаться,перех проходить пройти какое л расстояние,2296
опускаться опуститься снижаться снизиться,оседать осесть о фундаменте о стенах,2230
опускать опустить что,понижать понизить снижать снизить что,2734
опускать опустить что,понижать понизить кого в должности,2671
появляться появиться на свет рождаться родиться,появляться появиться возникать возникнуть,1104
оставлять оставить кого что где,сохранять сохранить приберегать приберечь что,2945
оставлять оставить кого что где,оставлять оставить забывать забыть позабыть что где,2926
оставлять оставить кого что где,оставлять оставить после себя кого что напр после смерти,2679
показывать показать демонстрировать продемонстрировать что,обнаруживать обнаружить проявлять проявить что,1105
поднимать поднять на ноги кого что,поднимать поднять с постели кого будить разбудить кого,2524
подавать подать что по направлению к говорящему,переводить перевести сводить свести что,1849
вытаскивать вытащить выдвигать выдвинуть что к себе,неперех выливаться вылиться откуда,1714
овсяный овсяной г атша рхъа овсяное поле,овсяный из овса г атша дзца овсяная каша,1819
происходить произойти вести начало от кого,гран образовываться образоваться о словах,2707
снимать снять что с чего,брать взять снимать снять кого с чего,3006
становиться стать мутным замутиться о воде,становиться стать пасмурным портиться испортиться о погоде,1201
собирать собрать что,сгребать сгрести что в кучу,1924
занимать занять какую л площадь,быть охваченным входить,2922
шевелиться пошевелиться,шататься зашататься,1548
осыпаться осыпаться о зёрнах подсолнуха кукурузы и,падать о фруктах,1430
сухой засохший о дереве,сухой чёрствый о хлебе,447
домашний очаг отчий дом,домашний,1043
влезать влезть в помещение,вламываться вломиться вваливаться ввалиться в помещение,2210
коченеть окоченеть,застывать застыть сгущаться сгуститься,1715
коченеть окоченеть,затвердевать затвердеть отвердевать отвердеть,2025
неперех садиться сесть рядом с кем чем,неперех сидеть у чьей л постели,2777
знать быть осведомлённым,быть знакомым с кем зпать кого,1248
уметь суметь воевать,уметь суметь драться,1445
насилие произвол,деспотичный,171
время период,сезон,889
уметь суметь читать,уметь суметь учиться заниматься где,1274
уметь суметь читать,уметь суметь учиться заниматься где,1274
уметь писать,писать налисать что для кого,2615
уметь писать,писать налисать что для кого,2615
уметь плавать,плыть к кому чему,1128
уметь суметь замесить напр тесто,месить замесить что для кого,1302
уметь говорить,уметь суметь сказать что,1258
зелёного цвета зелёный,зеленоватый,1039
шататься расшататься,трястись,1548
подарок невесты преподносимый ею родителям жениха во время первого свидания с ними после свадьбы,подарок невесте преподносимый ей после свадьбы родственниками жениха или приходящими в их дом с целью увидеть невесту,1396
отнимать отнять отбирать отобрать что,разбирать разобрать что,2621
кибла сторона в которую мусульмане обращаются лицом во время молитвы,юг,817
крепость,город,968
крепость,городской,968
житель крепости,городской житель горожанин,156
красный,и рыжий,943
деревянная ложка,половник,280
становиться стать виновным провиниться,становиться стать несправедливым,1185
мука из жареной кукурузы,вид кушанья из жареной кукурузной муки замешен ной на молоке сливках и плешивый,1108
выходить выйти из среды,отделяться отделиться от семьи,2699
иноверец немусуль манин,вероотступник,68
иноверец немусуль манин,вероотступник,68
затыкать заткнуть дыру щель и,запихивать запихать что,1771
становиться стать слабым нетугим,становиться стать расслабленным вялым,1155
кусо к сахару,голова головка сахару,26
ржать заржать,груб громко смеяться хохотать ржать,1655
глупость,сумасшествие,128
глупеть поглупеть,сходить сойти с ума,1663
лёгкий нетяжёлый,быстрый скорый,512
становиться стать слепым слепнуть ослепнуть,становиться стать близоруким недальновидным,1202
темнеть потемнеть,мрачнеть помрачнеть,988
бессмысленный,бесполезный,634
становиться стать бессмысленным,становиться стать бесполезным,1157
