sense_1,sense_2,mark
to dissolve in liquid (tr.),to solve (a problem),1
wing,flank (military),1
wind,disease,1
long (size),long (period of time),1
mute,<foreigner>,1
<foreigner>,slave,1
<horned animal>,<insect>,1
goat,<clothes>,1
circle,finger-ring,1
finger/toe,finger-ring,1
young,stupid,1
<fruit>,tonsil,1
wind,sail (n.),1
sky,destiny,1
tick (Acarina),castor bean (Ricinus communis),1
"to water, to give water",to water (plants),1
to boil (intr.),"spring, fountain",1
stench,"polecat, ferret (Mustela putorius)",1
hoof,foot/leg,1
nail (body part),hoof,1
bone,foot/leg,1
hand/arm,wing,1
hand/arm,"branch, twig",1
corner,knee,1
"to approach, come near",to begin (tr.),1
to feel thirsty,to want,1
to feel pity,to regret,1
swelling (on skin),"tortoise, turtle",1
green,"bile, gall",1
mobile,mercury,1
liquid (adj.),flexible,1
"to freeze, to be cold","to worry, be agitated",1
room,house,1
to kick,to dig,1
to dig,to find,1
"firm, solid",quick,1
weak,slow (adj.),1
hill,tomb,1
ceiling,palate,1
"to beat, hit",wound (n.),1
to thrust (into),"to butt, to hit with the horns",1
"to beat, hit",to boast,1
ready,enough,1
"to beat, hit",to speak,1
to bark (of a dog),to shout,1
to run,to defecate,1
rich,numerous,1
to defend,to prohibit,1
maize,cone (fruit),1
to bark (of a dog),to cough,1
sharp,bitter,1
to bite,bitter,1
"to beat, hit",to cough,1
to cough,to grumble,1
to shake,to speak,1
turbid,to feel sick,1
quick,clever,1
quick,transparent,1
to become,"can, to be able",1
"to be, exist","may, to be allowed",1
"to tear, rend",to vomit,1
pit,tomb,1
drop (n.),"spring, fountain",1
to pinch,to steal,1
feather,eyelash,1
to touch,to run,1
to intend,to doubt,1
to drop (of liquid),to die,1
to intend,to invite,1
to throw,"to tear, rend",1
to shake,"to beat, hit",1
rusty,bad,1
cave,stove,1
"to grasp, seize",to do,1
"to beat, hit",bedbug (Cimex lectularius),1
to kiss,to sting,1
curved,unpleasant,1
curved,to be guilty,1
curved,lame person,1
part,bread,1
rooster,penis,1
to drop (of liquid),to be in a hurry,1
"to wet, moisten","to beat, hit",1
"to wet, moisten",to drink,1
to break (tr.),to quarrel,1
to break (tr.),to want,1
to turn sour,to be late,1
bride,whore,1
"to adorn, decorate",proud,1
to turn sour,rain,1
stomach,<pocket>,1
to turn sour,"bowels, intestine",1
cold (n.),wind,1
"hard, solid",very,1
lip,muzzle,1
light (of weight),slow (adj.),1
to pour,"to beat, hit",1
"bast, the layer under the bark",head,1
to touch,"to soil, make dirty",1
to get wet,"to bother, pester",1
navel,bud (on a twig),1
navel,belly,1
elbow,corner,1
many,very,1
"flat, even",straight,1
pus,"petroleum, oil",1
dew,rain,1
pus,dung,1
to love,any,1
to touch,to be related to,1
open (adj.),light (of colour),1
closed,dark (adj.),1
"to pull, to draw","to slow, linger",1
bride,weasel (Mustella nivalis),1
ear,hare (Lepus),1
to run,hare (Lepus),1
blind,mole (Talpa),1
to dig,mole (Talpa),1
monarch,queen (bee),1
to press down,"to restrain, control one’s feelings",1
magpie (Pica pica),talkative person,1
pig (Sus scrofa),slattern,1
pig (Sus scrofa),bad person,1
pig (Sus scrofa),glutton,1
head,mind (n.),1
to go out,to run out (of smth),1
to sit down,to set (of heavenly bodies),1
to lie down,to set (of heavenly bodies),1
to fall down,to set (of heavenly bodies),1
storm,scandal,1
<fruit>,swelling (on skin),1
dark (adj.),bad,1
dark (adj.),gloomy,1
to scratch (when itches),to quarrel,1
to shoot,to shock (of electric current),1
to hide (tr.),to bury,1
to flow,to shed hair (of animals),1
to end,to die,1
old man,bear (Ursus),1
to burn (tr.),nettle (Urtica),1
to milk,to spawn,1
bald,bald-coot (Fulica atra),1
hare (Lepus),coward,1
<animal>,bastard,1
powerless,furious,1
attack (n.),attack of disease,1
hair (of animals),feathering,1
hair,hair (of animals),1
"naked, bare",poor,1
feather,fin,1
wing,fin,1
to squeak,murine rodent,1
to dive,<waterfowl>,1
thorn,<sturgeon>,1
to fall asleep,to grow numb,1
to fall asleep,to ice over,1
to become dumb,to grow numb,1
to go away,to die,1
to fly away,to die,1
skin (of a person),bat (Microchiroptera),1
leaf,oar,1
"spade, shovel",oar,1
to find,to give birth,1
to shoot,to shine,1
to become infected,"to become dirty, soiled",1
"joint, articulation",generation,1
"firm, solid",healthy,1
"to stick (to a surface), to adhere",to flirt,1
to change (tr.),to change clothes,1
to change (tr.),to shed hair (of animals),1
to look asquint,to disapprove,1
wrist,ankle,1
strong,very,1
back of the head,back of the axe head,1
weak,stupid,1
foot,<unit of length>,1
"step, pace",<unit of length>,1
elbow,<unit of length>,1
to throw,<unit of length>,1
stick (n.),<unit of length>,1
bull,bittern (Botaurus),1
<thorny plant>,goldfinch (Carduelis),1
"<term of endearment, proper name>",doll,1
stairs,stirrup,1
quick,very,1
quick,hare (Lepus),1
quick,carabus (Carabus),1
"to untie, unbind",to set free,1
coast,edge,1
edge,"country, land",1
market,noise,1
to break (tr.),buckthorn (Frangula),1
"to go, walk","to fall (of rain, snow)",1
rush (plant),millerbird (Acrocephalus etc.),1
nettle (Urtica),small tortoise-shell (Aglais urticae),1
nettle (Urtica),nettle-rash,1
to boil (intr.),to be angry,1
to boil (intr.),"to ferment, yeast",1
to sing,to glorify,1
face,page,1
to sway,to doubt,1
donkey,fool,1
cross (n.),crossbill (Loxia),1
flower,smallpox,1
to tie,to stop doing smth.,1
cat,catnip (Nepeta cataria),1
dirty,bad (ethically),1
to break (tr.),to ache,1
to lose,to be defeated,1
blind,blunt,1
to go after smb.,"to watch, look after",1
pregnant,destined to produce,1
to conjure,"to charm, to delight",1
wind,anemone (Anemone),1
hawk (Accipiter),hawkweed (Hieracium),1
foam,cream (of milk),1
wolf (Canis lupus),poisonous,1
dog,poisonous,1
low (location),meek,1
"to smear, anoint","to disgrace, dishonor",1
sharp,keen (of senses),1
thin (of an object),keen (of senses),1
long (size),long-fibred flax (Linum usitatissimum),1
abundance,harvest,1
guest,disease,1
expensive,lovely,1
circle,<money>,1
frequent,"thick (of a growth, hair)",1
root (of a plant),origin (n.),1
crime,punishment,1
"to beat, hit",woodpecker,1
house,to marry,1
witness,martyr,1
bitter,salty,1
to flow,to float,1
criminal,whore,1
to feel pity,to be greedy,1
"to turn, rotate (intr.)",to begin,1
white,honest,1
trough,river-bed,1
back (body part),behind,1
frog,snail,1
fat (adj.)(of a person),"rude, impolite",1
thick,"bass, low-pitched voice",1
to see/to look at,to act according to,1
louse,bad,1
to make empty,to forgive,1
black cloud,sponge,1
"to turn, rotate (intr.)","to coagulate, curdle",1
pea,hail,1
"branch, twig",root (of a plant),1
to disdain,to despair,1
to know,noble,1
time,"journal, magazine",1
antelope,rhinoceros,1
world,people (pl.),1
camel,ostrich,1
"drug, medicine","help, aid (n.)",1
river,ravine,1
greedy,very,1
"footprint, track",road,1
"to search, to look for",to choose,1
"to call (somebody), to call for",to name,1
to drink,to smoke,1
bow (weapon),rainbow,1
"to beat, hit",to forge,1
leaf,<plant (biol.)>,1
to lie (posture),to be situated,1
young,brave,1
to harness,to begin (tr.),1
face,surface,1
face,"manner, way",1
heart,brave,1
ravine,"steppe, plain",1
wind,light-headed,1
light (of weight),unimportant,1
light (of weight),quick,1
"earth, soil","country, land",1
"to grasp, seize",to begin (tr.),1
"to grasp, seize",to catch fire,1
"to turn, rotate (intr.)",to stop doing smth.,1
"to remain, stay",corpse,1
"to remain, stay",to stop doing smth.,1
black,bad,1
<foreigner>,soldier,1
sky,blue,1
circle,wheel,1
to put,to have opinion,1
empty,pot,1
owl,raven,1
tail,end,1
tail,"handle, gripe",1
dry,land (vs. sea),1
to give birth,"to cry, weep",1
to defend,"to pasture, shepherd",1
gate,town,1
to understand,to obey,1
"to smell, scent",to smell (of smth),1
insect,<insect>,1
"bowels, intestine",sausage,1
sword,"plough, ard",1
winter,North,1
to name,to quarrel,1
happy,strong,1
to wake up (intr.),"to worry, be agitated",1
to play (intr.),music,1
front part,beginning,1
empty,desert (n.),1
calm,healthy,1
hour,"watch, clock",1
<vessel>,weapon,1
barrel,fat (adj.)(of a person),1
yellow,hepatitis,1
to sing,"to cry, weep",1
to love,friend,1
to respect,"to treat, regale",1
to be in a hurry,to fear,1
to sway,to avoid,1
work (n.),"service, good turn",1
"dock-tailed, tailless",old (vs. young),1
salt,"meaning, sense",1
sparse,shallow,1
rare,sparse,1
head,one piece (at counting),1
head,"heading, title",1
elbow,crossroads,1
"melody, tune",behaviour,1
fairy tale,"false, untrue",1
ferment,sperm,1
cold (n.),chill (disease),1
"stop, stand (n.)",distance,1
nest (n.),bed,1
<plant (biol.)>,brown,1
greedy,"missing, failing",1
unpleasant,snake,1
woman,mother,1
"mold, fungus (?)",rust (n.),1
rust (n.),defect,1
"grief, sorrow",to regret,1
"rag, duster (?)",clothes,1
crow,spades (in cards),1
cross (n.),clubs (in cards),1
"muddy, turbid (of water) (?)",grey,1
grey,"many-coloured, motley",1
iron,"trap, snare (n.)",1
key (of a door),lock (n.),1
to speak,to quarrel,1
comb,honeycomb,1
comb,"charger, cartridge clip",1
sieve (n.),pure,1
drop (n.),full stop,1
trunk (of a tree),torso,1
one (unit),ace (in cards),1
seed (n.),"ferment, leaven",1
tail,accomplice,1
ball (n.),cannon (weapon),1
"to let, leave",to make do smth.,1
to carry out,to win,1
bitter,"bile, gall",1
"tight, taut",beautiful,1
to ache,to be ill,1
nature,"human temper, character",1
muzzle,mouth (of a river),1
muzzle,face,1
"trick, hocus-pocus",trump (in cards),1
to go away,to disappear,1
to drink,to suck,1
to sow,to lose,1
"to pull, to draw","to beat, hit",1
"to pull, to draw","to draw, paint",1
"wild, untamed",barren (of animals),1
"wild, untamed",bad,1
birthmark,"mold, fungus (?)",1
to give,to teach,1
neck,collar,1
neck,crossroads,1
grandchild,nephew,1
sheet of paper,layer,1
separate (adj.),other`s,1
fresh (of water),vulgar,1
beginning,before,1
to bark (of a dog),"to fight, scuffle",1
hem (of a skirt),mountain slope,1
to put,to build,1
to see/to look at,because of,1
"manufacturer, producer","commodity, goods",1
to find,to be situated,1
scorpion,"pointer, head (of a clock)",1
smell,"perfume, scent",1
end,ending (in grammar),1
to fall down,"to get (to), to find oneself (in)",1
to strew,"rash, eruption",1
market,Sunday,1
"to adorn, decorate",to be appropriate (for),1
(gun)powder,small quantity of something,1
key (of a door),"screw, screw-bolt",1
threshold,door-post,1
under age,"rude, impolite",1
to lead,to marry,1
to be angry,"to revolt, rebel",1
"owre, buffalo (Bubalus bubalis)",old man,1
shadow,"phantom, ghost",1
soul,"phantom, ghost",1
"Gipsy, Gypsy",to ask (for),1
"Gipsy, Gypsy",to mock (at),1
"Gipsy, Gypsy",to deceive,1
"Gipsy, Gypsy",to nomadize,1
"spot, stain",bald spot,1
doomsday,"tumult, turmoil",1
guest,friend,1
craw (of bird),Adam's apple,1
to go out,to disappear,1
simple,comfortable,1
to put,to defecate,1
to put,"to castrate, geld",1
truth,payment,1
taste,"profit, gain (n.)",1
moisture,"profit, gain (n.)",1
book (n.),"writing-book, note-pad",1
insane,rabid,1
to sit,to be imprisoned,1
to reach,"can, to be able",1
to reach,must,1
to ache,to run,1
"little, small","thick (of a growth, hair)",1
bull,strong man (?),1
short (size),brief,1
quick,loud,1
acute (of sound),spicy,1
long (size),tall,1
long stick,tall person,1
to sprinkle,to run,1
to flow,to run,1
warp,basis,1
threshold,rapids,1
belly,pregnant,1
tooth,clove (of a garlic),1
sheath,pod,1
to play (intr.),to be glad,1
"to go, walk",to be alike,1
alive,quick,1
to throw,to shoot,1
to carry,to give birth,1
soul,butterfly,1
to milk,to extort (money from smb.),1
tail,rudder (of a boat),1
bone,stone (of a fruit),1
breathing,soul,1
to pass by,to cut up,1
wind,smell,1
top,to win,1
top,sky,1
to smooth,to correct,1
to turn back to look at smth.,to sympathize,1
to touch,to reach,1
day,weather,1
wooden object,corpse,1
to kill,to hunt,1
dry,"hard, solid",1
to die,to ripen,1
long ago,already,1
below,east,1
blue,green,1
food,meat,1
to find,bastard,1
rooster,chanterelle,1
pig (Sus scrofa),barbel,1
beard,barbel,1
moustache,barbel,1
alder-tree,minnow,1
mirror,mirror carp,1
bitter,bitterling,1
deep,barbel,1
troop (of animals),minnow,1
to blink (by eyes),"instant, moment",1
deep,saturated (of colour),1
bull,bullhead,1
full,fat (adj.)(of a person),1
greasy,talc,1
monarch,european kingfisher (Alcedo atthis),1
monarch,goldcrest,1
wet,drunk,1
skill,memory,1
to add,"to help, aid",1
to write,"to learn, study",1
"to grasp, seize","to light, to kindle (the fire)",1
snow,winter,1
to fall down,"to fall (of rain, snow)",1
to fall down,to come,1
image,shadow,1
to push,to induce,1
to live,food,1
to defend,food,1
quince,pear,1
black,illegal,1
to live,animal,1
breathing,animal,1
"to get, obtain",cattle,1
goat,sabrefish (Pelecus cultratus),1
to run,ram,1
to push,ram,1
wood-louse,pig (Sus scrofa),1
to prohibit,pig (Sus scrofa),1
blue,bruise,1
black,bruise,1
to spoil,"to put the evil eye (on), to bedevil",1
to fill (tr.),pregnant,1
snake,lamprey (Petromyzontidae),1
snake,eel (Anguilla anguilla),1
"to spring, jump",quick,1
to cut (tr.),quick,1
wind,quick,1
"to turn, rotate (intr.)",quick,1
flexible,quick,1
hot,quick,1
hot,active,1
alive,active,1
to fly,quick,1
sharp,quick,1
"to drive, to force to move on",quick,1
eye,eyebright (Euphrasia officinalis),1
cucumber,bourrache (Borago),1
cucumber,vegetable marrow,1
cucumber,pumpkin,1
to bark (of a dog),to tell lie,1
"stone, rock",turnstone (Arenaria interpres),1
<tree>,"<mushroom, fungus>",1
blind,horse-fly (Tabanidae),1
<rural foot-wear>,fool,1
to press down,to hinder,1
to stink,bad,1
thin (of an object),coward,1
head,edge,1
head,kind (n.),1
womb,origin (n.),1
to hold (in hands),to defend,1
"to grasp, seize","to learn, study",1
to strain,to grieve (tr.),1
to burn (intr.),"spot, stain",1
root (of a plant),mountain foot,1
"to pull, to draw",to drink,1
lip,word,1
sharp,strong,1
to go after smb.,to be alike,1
to go after smb.,"to pasture, shepherd",1
to go after smb.,friend,1
to play (intr.),friend,1
calf of a leg,butt of the rifle,1
"sack, bag",<measure of volume>,1
to refuse,"to hate, to dislike",1
"to hate, to dislike",enemy,1
"can, to be able",to endure,1
"can, to be able",to win,1
belly,fat (adj.)(of a person),1
part,body part,1
part,relative (n.),1
to throw,to winnow,1
to know,"sign, designation",1
to reach,to grow up,1
to reach,to ripen,1
to catch up,to understand,1
to reach,to become ready (of food),1
man,penis,1
tail,behind,1
tail,scarf,1
to tread,to copulate,1
to tread,to thresh (grain),1
"can, to be able",strong,1
wing,border,1
to repeat,to tell,1
female calf,girl,1
rock,knee-pan,1
forehead,"stone, rock",1
vessel,"property, possessions",1
to sit down,to stop doing smth.,1
wet,lavish,1
raw,"false, wrong",1
to contain,to remember,1
hair,"happiness, luck",1
to press down,to suck,1
narrow,to oppress,1
"to grasp, seize",servant,1
"to grasp, seize","to care for, look after",1
strong,noble,1
"satiated, full",rich,1
to separate,to decide,1
to get tired,blunt,1
man,brave,1
to eat,to ache,1
to cut (tr.),spicy,1
to cut (tr.),to understand,1
<young animal>,young man,1
"to ride (e.g., a horse)",to copulate,1
"to call (somebody), to call for",to make a telephone call,1
tail,penis,1
eyelash,edge,1
"to care for, look after","to worry, be agitated",1
"to turn, rotate (intr.)","to address (someone), to speak (to someone)",1
to be awake,to guard,1
tail,lower part,1
tail,to follow logically,1
to see/to look at,to guard,1
moon,insane,1
tail,to go after smb.,1
to go after smb.,to prosecute at law,1
heel (of a foot),to result in,1
to go after smb.,to result in,1
toy,flower,1
to result in,child,1
heel (of a foot),end,1
to hang,to depend,1
to make black,to slander,1
raw,"rude, impolite",1
to harness,to force to work,1
to make hard,"to learn, study",1
"thick (of a growth, hair)",intensive,1
slow (adj.),stupid,1
young,<positive evaluation>,1
to dig,hoof,1
to fall down,to attack,1
to sleep,"to come to end, to cease",1
to mill,to oppress,1
hand/arm,part,1
wing,side (n.),1
wing,to defend,1
to bind,"dense, thick (liquid)",1
to tie,to form the fruit (of plant),1
to move quickly,"to care for, look after",1
to want,to fornicate,1
to believe,to be glad,1
friend,beloved,1
to lie (posture),to sleep,1
free of charge,in vain,1
sky,weather,1
cartilage,"branch, twig",1
conversation,feast,1
"fun, gaiety",wedding,1
"to pull, to draw",to last,1
tongue (body part),gulf,1
"genuine, true",own (of a relative),1
to fill (tr.),to end,1
to stand,servant,1
to stand,"to inhabit, live",1
to hold (in hands),to promise,1
to hold (in hands),"to coagulate, curdle",1
"to grasp, seize","to fight, scuffle",1
to breathe,to rest,1
to sway,"to worry, be agitated",1
to want,although,1
to go out,to rise (of heavenly bodies),1
to go down,to set (of heavenly bodies),1
liquid (adj.),high-pitched,1
to meet (each other),to quarrel,1
heavy (of weight),"bass, low-pitched voice",1
"to present, gift",to promise,1
colour,timbre,1
heavy (of weight),slow (adj.),1
to go around,to deceive,1
moon,menstruation,1
to take,bribe,1
road,Milky Way,1
to burn (intr.),passionate,1
to open (tr.),to switch on,1
soft (adj.),tasteless,1
to step on,to begin,1
to dislocate (of a joint),to go mad,1
to spoil (intr.),to go mad,1
to prop up,"to help, aid",1
to lean on/against,to endure,1
blood vessel,muscle,1
camel,glutton,1
to go mad,to be angry,1
to change (tr.),to be unfaithful (to one's husband or wife),1
steep,insolent,1
atheist,cruel,1
tooth,"clove, segment",1
to leave,to let,1
"to pull, to draw",bow-string,1
to fill (tr.),to become infected,1
to stand,to be situated,1
to be born,to rise (of heavenly bodies),1
straight,healthy,1
straight,fat (adj.)(of a person),1
yesterday,recently,1
to sting,to induce,1
weak,bad (ethically),1
weak,inclination to smth,1
to fall down,to be related to,1
to be enough,to cost,1
wolf (Canis lupus),cruel,1
lung,liver,1
good,ОК,1
work (n.),thing,1
slow (adj.),meek,1
"to pull, to draw",bow (weapon),1
work (n.),verb,1
flat (adj),unfunny,1
bed,river-bed,1
to crackle,cartilage,1
black,sad,1
"to mix, stir",to involve,1
to set (of heavenly bodies),to die,1
to gnaw,"to carp, find faults",1
sharp,good shooter,1
armpit,corner,1
armpit,gulf,1
empty,stupid,1
bridge,clavicle,1
ear,gills,1
belt,rainbow,1
"spade, shovel","shoulder-blade, scapula",1
to shear,to deceive,1
monkey,"ugly, unpleasant",1
to intend,to hope,1
clean (adj.),honest,1
to clean,to deceive,1
to clean,to steal,1
simple,stupid,1
stupid,bad,1
spirit,smell,1
tribe,kind (n.),1
to cool down (intr.),to die,1
"spring, fountain",beginning,1
"narrow, close",greedy,1
to defecate,to waste,1
"hard, solid","firm, solid",1
"mangy, scabby",bad,1
brick (n.),diamonds (in cards),1
to mill,to speak,1
to mill,to eat,1
to touch,to hit the target,1
to enter,to become infected,1
"plait, braid",mane,1
"branch, twig",trouser-leg,1
"to cackle, to cluck",to speak,1
to bite,part,1
knot,bud (on a twig),1
bud (on a twig),kidney,1
middle,back (body part),1
curved,squint-eyed,1
squint-eyed,hare (Lepus),1
face,mountain slope,1
brain (cerebrum),mind (n.),1
"mosquito, gnat",fly (n.),1
dead body,bad (ethically),1
oak,acorn,1
oak,to tan (hides),1
nostril,finger-ring,1
awl,dinner fork,1
earth,dust,1
otter (Lutra lutra),seal (animal),1
soldier,Jack (playing card),1
soldier,pawn (in chess),1
turnip (Brassica rapa var. rapa),black radish - ???,1
"brand, stamp","spot, stain",1
boredom,laziness,1
"to spring, jump",grasshopper (Tettigonioidea),1
to get dry,to disappear,1
to pass by,to pass (of time),1
to flow,to pass (of time),1
"step (of a staircase, step-ladder)",stairs,1
crown (n.),top/crown (of a tree),1
top/crown (of a tree),umbrella,1
overcoat,fool,1
"to stick (to a surface), to adhere","to bother, pester",1
friend,spouse,1
to think,"to care for, look after",1
to do,to give birth,1
oar,to row (with oars),1
to row (with oars),to fly,1
sail (n.),to sail,1
sea,to sail,1
"hunt (n.), hunting",wild beast,1
to get tired,to grow numb,1
quick,urgent,1
silver,money,1
greasy,fertile (soil),1
amazing,strange,1
locked,strong (of liquid or smell),1
closed,cloudy,1
patch,"spot, stain",1
word,affair,1
field,battle,1
face,direction,1
face,front part,1
dry,cruel,1
dry,bad,1
dry,paralyzed,1
smooth,beautiful,1
smooth,to escape,1
smooth,to move quickly,1
smooth,to flatter,1
"rough, uneven",approximately,1
sharp,clever,1
sharp,pungent (odour),1
edge,sharp point,1
"cover, canopy",to defend,1
nose,angry,1
nose,boss,1
egg,bribe,1
to be awake,attentive,1
to rest,to die,1
light (of weight),frivolous,1
light (of weight),unimportant,1
heavy (of weight),rich,1
hot,angry,1
to work,to get tired,1
to see/to look at,to find,1
to see/to look at,"to check, test",1
to fall down,"to err, be wrong",1
to drop (of liquid),"spot, stain",1
to be awake,active,1
to awaken,to cause,1
to slaughter (cattle),to deceive,1
"satiated, full",insolent,1
"satiated, full",saturated (with something),1
"muddy, turbid (of water) (?)","to worry, be agitated",1
equal,correct (adj.),1
equal,straight,1
to stand up,to be resurrected,1
cold (adj.),pleasant,1
cold (adj.),slow (adj.),1
cold (adj.),motionless,1
"fine, powder-like",thin (of an object),1
thin (of an object),quiet (vs. loud),1
thin (of an object),thin (of liquid),1
thin (of an object),lean,1
weak,poor,1
weak,lean,1
straight,normal,1
thin (of an object),"delicate, subtle (person, question etc.)",1
thin (of an object),narrow,1
lean,infertile (soil),1
thick,fat (adj.)(of a person),1
thick,"dense, thick (liquid)",1
messenger,angel,1
bone,strong,1
big,thumb,1
to go up,difficult,1
to open (tr.),to judge,1
to open (tr.),"to occupy, to conquest (territory)",1
to open (tr.),to explain,1
ear,mind (n.),1
"to light, to kindle (the fire)",to provoke,1
to cover,to forgive,1
knot,contract,1
door,chapter (of a book),1
door,"manner, way",1
door,kind (n.),1
heel (of a foot),hoof,1
heel (of a foot),"footprint, track",1
"aim, goal",goal (sport result),1
end,"aim, goal",1
to think,to intend,1
top,eminent man,1
"branch, twig",part,1
to go away,to set (of heavenly bodies),1
to set (of heavenly bodies),west,1
to rise (of heavenly bodies),east,1
to rise (of heavenly bodies),red,1
eye,eminent man,1
eye,sun,1
fruit,child,1
root (of a plant),lower part,1
to insert,plant (biol.),1
to get accustomed,"to learn, study",1
"to shut, to close",to stop doing smth.,1
"to shut, to close","to ignore, not to greet somebody",1
to cut (tr.),"to ignore, not to greet somebody",1
colour,kind (n.),1
meat,fruit pulp,1
bread,food,1
thick,strong (of liquid or smell),1
high (location),proud,1
big,loud,1
owner,husband,1
star,North,1
garlic (Allium sativum),garlic-scented agaric (Marasmius scorodonius),1
dust,pollen,1
"to beat, hit",to move quickly,1
"to beat, hit","to walk, wander",1
<insect>,"multitude, great number",1
sharp,dangerous,1
sharp,severe (about pain),1
sharp,"soldier (plan, Stratiotes)",1
soldier,"soldier (plan, Stratiotes)",1
to cut (tr.),to blunt,1
to hew,to object,1
"to calculate, count",to prepare,1
to build,to pretend (to be),1
flat (adj),stupid,1
street,whore,1
warm,"friendly, amicable",1
cold (adj.),hostile,1
cold (adj.),"friendly, amicable",1
cold (adj.),fresh (of water),1
lightning,electricity,1
amber,electricity,1
to flow,electricity,1
drunk,great bilberry (Vaccinium uliginosum),1
rooster,bully,1
drone (n.),"idler, loafer",1
sand,"multitude, great number",1
sand,coast,1
sharp,brave,1
"stopper, plug",little baby,1
to sway,"to walk, wander",1
to love,to let,1
monkey,to imitate,1
to come,to happen,1
to carry,to steal,1
pumpkin,vegetable marrow,1
"to beat, hit",to mow grass,1
to stand,to befit,1
to stand,"to be, to take place",1
"stone, rock",stone (of a fruit),1
cheek,mountain slope,1
cold (adj.),<cold steel>,1
white,<cold steel>,1
to burn (intr.),sword,1
"to shine, glitter",<cold steel>,1
coward,cat,1
flower,yolk,1
to break (tr.),to infringe,1
to break (tr.),to change money,1
to speak,to foresee,1
sad,weak,1
to fall down,to end,1
dry,boring,1
dry,taciturn,1
to quarrel,to bargain about the price,1
to bark (of a dog),to joke,1
foot/leg,basis,1
hump (of a person or camel),shoal,1
lame person,drunk,1
rhinoceros,tank (armour),1
bird Nectarinia gutturalis,drunkard,1
to go up,to succeed,1
nose,mouth,1
to sail,to fly,1
deep,"ernest, grave",1
tail,horsetail,1
spruce (Picea),horsetail,1
apple,potato,1
<foreigner>,giant,1
<foreigner>,fantastic monster,1
<fruit>,rheumatic fever,1
dew,sundew (Drosera),1
to crawl,to be torn,1
person,servant,1
"to beat, hit",to attack,1
white,empty,1
to cut (tr.),to stop doing smth.,1
to cut (tr.),to hinder,1
lion (Panthera leo),brave person,1
to sit down,to shrink (of textile),1
"to spring, jump",to shrink (of textile),1
pot,furnace,1
"to raise, lift (tr.)",to awaken,1
to spoil,to win,1
extinct,empty,1
lung,"medusa, jellyfish",1
to fear,to respect,1
door,strait,1
door,ravine,1
door,mouth (of a river),1
to see/to look at,to feel,1
to see/to look at,to foresee,1
pilot sucker,creditor,1
leech,creditor,1
leech,extortioner,1
to go after smb.,to act according to,1
"stranger, foreign",strange,1
to cut (tr.),pain,1
to see/to look at,"to beware, be careful",1
"to beat, hit",to hit the target,1
to be separated,to die,1
to wait,"to care for, look after",1
"to search, to look for",to investigate,1
calm,cheerful,1
"to stick (to a surface), to adhere",to become infected,1
to die,to grow numb,1
sharp,severe,1
sharp,steep,1
"to braid, plait, weave",wall,1
table; desk,joiner; cabinetmaker,1
"box, container",joiner; cabinetmaker,1
lock,metalworker,1
tea,gratuity,1
to drink,gratuity,1
cauldron,cannon (weapon),1
camp,army,1
young man,soldier,1
child,sucker (botany),1
to touch,"to communicate, be on friendly terms",1
"to mix, stir",to waste,1
to change (tr.),to distract,1
behind,west,1
open (adj.),frank,1
"to go, walk",to suit (of clothes),1
foot,mountain foot,1
"to burst, break",to give birth,1
healthy,fat (adj.)(of a person),1
bastard,bad person,1
friend,enemy,1
moss,mould,1
dry,severe,1
to choke,to offend (tr.),1
door,"cover, lid",1
nose,brain (cerebrum),1
nose,palate,1
to blow,to rise (of heavenly bodies),1
to blow,to grow (plants),1
circle,destiny,1
"opening, hole",mouth (of a river),1
late,long ago,1
head,cape,1
colour,"false, untrue",1
yellow,"bile, gall",1
"ugly, unpleasant",bad,1
spicy,stupid,1
poison,sorrowful,1
weak,sad,1
dew,hail,1
green,dark-skinned,1
"hard, solid",difficult,1
full,drunk,1
horned,evident,1
monarch,bridegroom,1
cheerful,drunk,1
to go after smb.,to follow logically,1
to go after smb.,next,1
head,side (n.),1
to press down,"to hatch out, brood",1
free,free of charge,1
"satiated, full",to be sure,1
far away,long ago,1
near,stupid,1
to speak,to have opinion,1
"to tear, rend",to eat,1
shallow,poor,1
to dense,to keep silent,1
front part,east,1
navel,centre,1
to cut (tr.),"to carp, find faults",1
meek,clever,1
to fall down,to be born,1
to fall down,to coincide,1
to remember,to feel,1
metal,money,1
stump (of tree),share; stock,1
to chew,to explain,1
spicy,sorrowful,1
wound (n.),defect,1
insane,to be keen of,1
clean (adj.),beautiful,1
to eat,to consume,1
air,environment,1
to spoil (intr.),to grieve (intr.),1
garbage,lumpen,1
mouth,vacancy,1
"to lower, put down","to disgrace, dishonor",1
"to mix, stir",to swim,1
to float,"to move smoothly, gently",1
to float,to pass (of time),1
to put,to bury,1
to put,to decide,1
to bite,to quarrel,1
"to grasp, seize",to eat,1
"to lower, put down","to beat, hit",1
to clean,to destroy,1
dark (adj.),strong (of liquid or smell),1
breathing,skill,1
to row (with oars),to be sleepy,1
to be keen of,to grow numb,1
to make noise,"to worry, be agitated",1
threshold,limit,1
to be friends,to be keen of,1
"acerb, tart, harsh (taste or smell)",gloomy,1
pure,"genuine, true",1
pure,innocent,1
buttock,edge,1
white,innocent,1
to believe,to trust,1
heart,impudence,1
"opening, hole",defect,1
to do,to cost,1
back (body part),height (of a person),1
to cut (tr.),"to weaken, loosen",1
poor,"rude, impolite",1
heart,by heart,1
